crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2
23,120,1323,45880.0,50360.0,68.13,-3777.3,1,0.0064
29,125,1330,46440.0,49960.0,68.21,-3771.1,1,0.0064
4,0,781,2520.0,59960.0,60.01,-3760.4,1,0.0064
20,113,1329,46360.0,50920.0,68.86,-3751.3,1,0.0064
13,101,1324,45960.0,51880.0,69.31,-3746.6,1,0.0064
10,93,1308,44680.0,52520.0,68.95,-3728.5,1,0.0064
14,104,1334,46760.0,51640.0,69.66,-3727.8,1,0.0064
87,179,1402,52200.0,45640.0,69.34,-3724.7,1,0.0064
254,285,628,-9720.0,37160.0,38.41,-3134.0,1,0.0064
2,0,680,-5560.0,59960.0,60.22,-3129.1,1,0.0064
1,0,630,-9560.0,59960.0,60.72,-3034.2,1,0.0064
728,1373,423,-26120.0,-49880.0,56.31,-3027.1,1,0.0064
513,1186,403,-27720.0,-34920.0,44.58,-2981.1,1,0.0064
704,1341,319,-34440.0,-47320.0,58.53,-2968.8,1,0.0064
5,49,1129,30360.0,56040.0,63.74,-2964.1,1,0.0064
707,1342,450,-23960.0,-47400.0,53.11,-2963.5,1,0.0064
720,1357,425,-25960.0,-48600.0,55.1,-2959.3,1,0.0064
682,1321,332,-33400.0,-45720.0,56.62,-2957.5,1,0.0064
571,1231,428,-25720.0,-38520.0,46.32,-2956.3,1,0.0064
714,1351,445,-24360.0,-48120.0,53.93,-2955.7,1,0.0064
712,1347,488,-20920.0,-47800.0,52.18,-2952.3,1,0.0064
548,1214,431,-25480.0,-37160.0,45.06,-2949.5,1,0.0064
711,1346,413,-26920.0,-47720.0,54.79,-2948.7,1,0.0064
559,1224,344,-32440.0,-37960.0,49.93,-2946.0,1,0.0064
727,1372,395,-28360.0,-49800.0,57.31,-2945.7,1,0.0064
567,1228,446,-24280.0,-38280.0,45.33,-2942.3,1,0.0064
647,1290,530,-17560.0,-43240.0,46.67,-2938.2,1,0.0064
582,1237,435,-25160.0,-39000.0,46.41,-2937.4,1,0.0064
624,1267,332,-33400.0,-41400.0,53.19,-2936.9,1,0.0064
675,1316,451,-23880.0,-45320.0,51.23,-2936.9,1,0.0064
519,1191,419,-26440.0,-35320.0,44.12,-2936.7,1,0.0064
641,1284,361,-31080.0,-42760.0,52.86,-2936.2,1,0.0064
694,1331,343,-32520.0,-46520.0,56.76,-2936.1,1,0.0064
583,1238,372,-30200.0,-39080.0,49.39,-2935.4,1,0.0064
721,1357,464,-22840.0,-48600.0,53.7,-2934.5,1,0.0064
680,1320,395,-28360.0,-45640.0,53.73,-2934.0,1,0.0064
645,1288,372,-30200.0,-43080.0,52.61,-2933.8,1,0.0064
717,1354,486,-21080.0,-48360.0,52.75,-2933.5,1,0.0064
655,1297,500,-19960.0,-43800.0,48.13,-2933.0,1,0.0064
718,1357,365,-30760.0,-48600.0,57.52,-2932.7,1,0.0064
693,1330,360,-31160.0,-46440.0,55.93,-2932.6,1,0.0064
599,1251,326,-33880.0,-40120.0,52.51,-2932.3,1,0.0064
591,1245,414,-26840.0,-39640.0,47.87,-2931.8,1,0.0064
685,1324,406,-27480.0,-45960.0,53.55,-2931.4,1,0.0064
584,1238,378,-29720.0,-39080.0,49.1,-2930.6,1,0.0064
719,1357,375,-29960.0,-48600.0,57.09,-2930.4,1,0.0064
715,1353,476,-21880.0,-48280.0,53.01,-2930.1,1,0.0064
671,1313,379,-29640.0,-45080.0,53.95,-2929.3,1,0.0064
640,1281,510,-19160.0,-42520.0,46.64,-2928.6,1,0.0064
602,1253,397,-28200.0,-40280.0,49.17,-2926.3,1,0.0064
616,1261,380,-29560.0,-40920.0,50.48,-2926.3,1,0.0064
726,1367,381,-29480.0,-49400.0,57.53,-2926.0,1,0.0064
556,1219,376,-29880.0,-37560.0,48.0,-2925.9,1,0.0064
648,1291,490,-20760.0,-43320.0,48.04,-2925.8,1,0.0064
722,1360,478,-21720.0,-48840.0,53.45,-2924.0,1,0.0064
