crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX,
158,221,1410,52840,42280,67.67,-3812.2,1,0.0064,6.11E-11,1.61E-10,1.79E-12,1.07E-11,
27,123,1314,45160,50120,67.46,-3808.2,1,0.0064,1.01E-10,8.01E-11,1.24E-11,8.81E-12,
3,0,754,360,59960,59.96,-3804.8,1,0.0064,3.04E-11,2.26E-11,2.14E-12,2.54E-12,
22,117,1314,45160,50600,67.82,-3789.9,1,0.0064,9.00E-11,8.71E-11,7.91E-12,9.01E-12,
16,105,1304,44360,51560,68.02,-3779.4,1,0.0064,7.34E-11,1.63E-10,6.87E-12,5.80E-12,
356,365,1380,50440,30760,59.08,-3777.8,1,0.0064,,,,,
23,120,1323,45880,50360,68.13,-3777.3,1,0.0064,8.44E-11,8.77E-11,7.76E-12,7.57E-12,
29,125,1330,46440,49960,68.21,-3771.1,1,0.0064,5.83E-11,9.61E-11,1.08E-11,1.14E-11,
4,0,781,2520,59960,60.01,-3760.4,1,0.0064,3.28E-11,2.87E-11,2.18E-12,4.91E-12,
20,113,1329,46360,50920,68.86,-3751.3,1,0.0064,5.52E-11,5.71E-11,7.52E-12,7.48E-12,
13,101,1324,45960,51880,69.31,-3746.6,1,0.0064,1.08E-10,1.44E-10,8.67E-12,9.13E-12,
10,93,1308,44680,52520,68.95,-3728.5,1,0.0064,8.81E-11,6.44E-11,3.67E-12,5.71E-12,
14,104,1334,46760,51640,69.66,-3727.8,1,0.0064,6.57E-11,9.02E-11,4.17E-12,1.05E-11,
87,179,1402,52200,45640,69.34,-3724.7,1,0.0064,7.11E-11,1.43E-10,4.10E-12,6.30E-12,
254,285,628,-9720,37160,38.41,-3134,1,0.0064,,,,,
2,0,680,-5560,59960,60.22,-3129.1,1,0.0064,3.91E-11,9.53E-11,3.76E-11,7.31E-12,
1,0,630,-9560,59960,60.72,-3034.2,1,0.0064,4.87E-11,1.22E-10,5.64E-12,4.75E-12,
728,1373,423,-26120,-49880,56.31,-3027.1,1,0.0064,9.90E-11,2.19E-10,9.97E-12,9.70E-12,
513,1186,403,-27720,-34920,44.58,-2981.1,1,0.0064,3.59E-10,1.70E-10,5.94E-11,5.35E-11,
704,1341,319,-34440,-47320,58.53,-2968.8,1,0.0064,,,,,
5,49,1129,30360,56040,63.74,-2964.1,1,0.0064,,,,,
707,1342,450,-23960,-47400,53.11,-2963.5,1,0.0064,7.91E-11,1.61E-10,9.39E-12,7.72E-12,
720,1357,425,-25960,-48600,55.1,-2959.3,1,0.0064,1.05E-10,2.00E-10,1.19E-11,9.47E-12,
682,1321,332,-33400,-45720,56.62,-2957.5,1,0.0064,,,,,
571,1231,428,-25720,-38520,46.32,-2956.3,1,0.0064,2.97E-10,1.19E-10,1.53E-10,4.96E-11,
714,1351,445,-24360,-48120,53.93,-2955.7,1,0.0064,5.85E-11,1.52E-10,1.87E-11,1.45E-11,
712,1347,488,-20920,-47800,52.18,-2952.3,1,0.0064,4.43E-10,1.42E-10,3.76E-11,2.22E-11,
