Rank,crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX,IceIndex,Priority
295,457,1088,315,-34760.0,-27080.0,44.06,-2400.6,1,0.0064,5.209968220731831e-11,1.0011432655110396e-10,1.3685327177048734e-11,7.0165058659033e-12,0.4538313532782175,Medium Priority
296,661,1303,526,-17880.0,-44280.0,47.75,-2921.9,1,0.0064,8.731339956602469e-11,1.8076858065985127e-10,1.1057405858994064e-11,9.011594422070336e-12,0.4528092978665577,Medium Priority
297,531,1202,412,-27000.0,-36200.0,45.16,-2920.6,1,0.0064,5.0342358753896477e-11,9.411892099020491e-11,1.6131884023051768e-11,6.219565661103044e-12,0.4525123098920288,Medium Priority
298,432,1041,290,-36760.0,-23320.0,43.53,-2253.4,1,0.0064,5.2366749825338837e-11,9.959761487765562e-11,1.5129432429095147e-11,6.036296462674784e-12,0.4525022546072002,Medium Priority
299,59,159,1328,46280.0,47240.0,66.13,-3839.9,1,0.0064,5.946512726673348e-11,1.2736744992025706e-10,3.829604168503753e-12,6.0379062860604896e-12,0.4498218789868564,Medium Priority
300,63,161,1194,35560.0,47080.0,59.0,-3898.2,1,0.0064,7.72972727491883e-11,1.6378734479793875e-10,7.1978369445280236e-12,6.555676574510061e-12,0.4494414691199059,Medium Priority
301,553,1218,26,-57880.0,-37480.0,68.96,-1906.3,1,0.0064,4.1379837056876305e-11,8.869212309026153e-11,2.65761089350558e-12,3.1483496365503068e-12,0.4480774905550881,Medium Priority
302,139,211,14,-58840.0,43080.0,72.92,-1892.9,1,0.0064,9.121090688291034e-11,1.9403748052759795e-10,9.240101739305118e-12,7.754520116309838e-12,0.446504730821304,Medium Priority
303,11,95,1262,41000.0,52360.0,66.5,-3836.7,1,0.0064,6.388436307736001e-11,1.3597475922999536e-10,6.1643771684383175e-12,1.5572690706400216e-11,0.4463095466744696,Medium Priority
304,643,1286,351,-31880.0,-42920.0,53.46,-2912.4,1,0.0064,4.9571922955404795e-11,1.0010461903853239e-10,1.002508319414286e-11,4.957287184914616e-12,0.4460726696775874,Medium Priority
305,558,1221,240,-40760.0,-37720.0,55.54,-2544.7,1,0.0064,6.082725989564608e-11,1.2933383530810969e-10,6.08979056418435e-12,9.179712545659411e-12,0.4458704238852762,Medium Priority
306,749,1452,177,-45800.0,-56200.0,72.5,-1895.1,1,0.0064,3.9453797867627927e-11,8.557073799542181e-11,3.125016521596247e-12,1.734972950896696e-12,0.4398624893683494,Medium Priority
307,680,1320,395,-28360.0,-45640.0,53.73,-2934.0,1,0.0064,6.578933231526918e-11,1.3691058009523968e-10,1.2766767677752087e-11,7.093416132253338e-12,0.4366239072271593,Medium Priority
308,735,1434,148,-48120.0,-54760.0,72.9,-1929.6,1,0.0064,4.7978523931568866e-11,1.0146734841232076e-10,7.503243686091121e-12,5.044208974125386e-12,0.4362850378093194,Medium Priority
309,212,256,1387,51000.0,39480.0,64.5,-3885.9,1,0.0064,6.924232021088271e-11,1.490521039926307e-10,9.045451887512712e-12,8.154705209706403e-12,0.4352192579441422,Medium Priority
310,482,1129,327,-33800.0,-30360.0,45.43,-2495.2,1,0.0064,4.036652262451312e-11,8.219192687564103e-11,1.0067478968533994e-11,3.4485587128985085e-12,0.4328413017337962,Medium Priority
311,732,1415,138,-48920.0,-53240.0,72.3,-1913.6,1,0.0064,2.0070046319320408e-11,4.4360338319338055e-11,1.0222781822444291e-12,2.657156395954874e-12,0.4327062126526574,Medium Priority
312,46,143,1217,37400.0,48520.0,61.26,-3871.6,1,0.0064,6.932852208985095e-11,1.5439287348595343e-10,4.864567516166263e-12,5.302132431023177e-12,0.4326071953746844,Medium Priority
313,635,1277,380,-29560.0,-42200.0,51.52,-2906.9,1,0.0064,4.4940332705190045e-11,9.849386584104279e-11,5.069600555324128e-12,4.891414964042218e-12,0.4297900046162921,Medium Priority
314,169,225,1143,31480.0,41960.0,52.46,-3913.8,1,0.0064,6.545684133607566e-11,1.4236835321757008e-10,9.033327037777372e-12,7.1771789900143546e-12,0.4295020975254563,Medium Priority
315,728,1373,423,-26120.0,-49880.0,56.31,-3027.1,1,0.0064,9.895995134456824e-11,2.19448015315038e-10,9.96967178951147e-12,9.704184504577553e-12,0.4294807077881407,Medium Priority
316,16,105,1304,44360.0,51560.0,68.02,-3779.4,1,0.0064,7.338654683941569e-11,1.6327739160715282e-10,6.868746890709154e-12,5.80213264586571e-12,0.4287946399698201,Medium Priority
317,302,314,70,-54360.0,34840.0,64.57,-1925.7,1,0.0064,5.282069226453245e-11,1.1528673848903992e-10,7.764714218816415e-12,5.785438534494647e-12,0.4257966441467335,Medium Priority
318,481,1128,272,-38200.0,-30280.0,48.75,-2426.9,1,0.0064,8.228093206774645e-11,1.8671780788181988e-10,7.007986205231909e-12,4.940012808540839e-12,0.422547677638243,Medium Priority
319,750,1453,144,-48440.0,-56280.0,74.26,-1931.8,1,0.0064,4.0256242783698326e-11,9.073714002383324e-11,3.590085043483904e-12,5.519976836731999e-12,0.4222953385590592,Medium Priority
320,618,1262,391,-28680.0,-41000.0,50.04,-2922.9,1,0.0064,8.472765544720318e-11,1.9023384256744438e-10,1.0816882979602926e-11,1.2586722462903932e-11,0.4193385359929055,Medium Priority
321,472,1115,228,-41720.0,-29240.0,50.95,-2505.7,1,0.0064,7.537156315740035e-11,1.7676045349634959e-10,2.4200955909409183e-12,3.4166673396757163e-12,0.4183113190585613,Medium Priority
322,64,162,1228,38280.0,47000.0,60.62,-3898.1,1,0.0064,1.4848189344718318e-10,3.468255960203948e-10,7.371812361933738e-12,1.4243104959343889e-11,0.4180263986818276,Medium Priority
323,789,1495,10,-59160.0,-59640.0,84.0,-2256.7,1,0.0064,6.670251156970508e-11,1.5396305064196975e-10,4.8139560913929006e-12,6.9007330232018216e-12,0.4174725320835359,Medium Priority
324,696,1331,442,-24600.0,-46520.0,52.62,-2906.3,1,0.0064,7.324929551799642e-11,1.6180408402011182e-10,1.2951112404735454e-11,1.2227982515433666e-11,0.4167688751627764,Medium Priority
325,268,298,48,-56120.0,36120.0,66.74,-1927.1,1,0.0064,8.286912128729895e-11,1.8771031951025918e-10,1.0556160980057516e-11,7.186592900637612e-12,0.4158708533587311,Medium Priority
326,127,204,1204,36360.0,43640.0,56.8,-3924.2,1,0.0064,4.426559813142106e-11,9.441880610694398e-11,1.1053816716122268e-11,1.2513217892418103e-11,0.4157462919362906,Medium Priority
