crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX
608,1257,344,-32440.0,-40600.0,51.97,-2916.8,1,0.0064,6.033507027325413e-11,1.686737971517971e-10,8.062673792497144e-12,6.8129421375295865e-12
566,1228,404,-27640.0,-38280.0,47.22,-2916.6,1,0.0064,9.573451059674554e-11,1.1768318264326894e-10,1.7606322649799108e-11,5.510232894967437e-12
565,1227,359,-31240.0,-38200.0,49.35,-2916.5,1,0.0064,5.448213546976888e-10,1.5117937457453934e-10,1.768313412364719e-10,5.121073357039485e-11
703,1339,436,-25080.0,-47160.0,53.41,-2916.5,1,0.0064,1.0492306329323851e-10,2.0668873557116998e-10,2.0861546864980877e-11,1.1107665134901799e-11
587,1240,410,-27160.0,-39240.0,47.72,-2914.3,1,0.0064,7.97997154466934e-11,1.5978890433032686e-10,1.3392838921211236e-11,1.1025212860726883e-11
596,1249,364,-30840.0,-39960.0,50.48,-2914.2,1,0.0064,4.152441931970508e-11,1.2580159136632574e-10,6.30734700579616e-12,4.835351303383861e-12
607,1255,365,-30760.0,-40440.0,50.81,-2914.2,1,0.0064,5.1908498333030906e-11,1.0427356200715109e-10,6.576006666286771e-12,9.56285745035146e-12
666,1308,363,-30920.0,-44680.0,54.34,-2914.0,1,0.0064,6.782183842313215e-11,4.546652290771114e-11,1.2594682241573452e-11,4.760731305702981e-12
514,1187,391,-28680.0,-35000.0,45.25,-2913.6,1,0.0064,1.988682135634079e-10,7.001722812649547e-11,6.823448750470362e-11,2.3168933785400192e-11
656,1298,393,-28520.0,-43880.0,52.33,-2913.5,1,0.0064,7.395829088041593e-11,1.8234291854213322e-10,1.1506301120234319e-11,1.1262737270589795e-11
530,1202,391,-28680.0,-36200.0,46.18,-2913.3,1,0.0064,7.097038234871178e-11,1.12076403713246e-10,1.0289730005552666e-11,8.108233702508459e-12
664,1306,399,-28040.0,-44520.0,52.61,-2912.8,1,0.0064,6.209400355006167e-11,9.137524764613048e-11,1.0273721977316352e-11,1.0641557079971165e-11
503,1177,401,-27880.0,-34200.0,44.12,-2912.7,1,0.0064,2.8484126168848434e-10,1.3742898485880062e-10,1.1321683868192878e-10,1.8826499387225578e-11
636,1277,386,-29080.0,-42200.0,51.25,-2912.7,1,0.0064,1.1955059164847626e-10,1.1992105919400586e-10,1.8788075262232692e-11,1.0209244907799508e-11
637,1277,393,-28520.0,-42200.0,50.93,-2912.7,1,0.0064,1.1755314777150971e-10,1.3383212593698346e-10,1.800819215969085e-11,7.771798829492305e-12
689,1326,500,-19960.0,-46120.0,50.25,-2912.7,1,0.0064,4.929073121884287e-11,9.370792336538257e-11,6.1854813805661815e-12,9.466674839864186e-12
